event-id,visible,timestamp,location-long,location-lat,comments,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:speed-accuracy-estimate,eobs:status,eobs:type-of-fix,eobs:used-time-to-get-fix,external-temperature,ground-speed,heading,height-above-ellipsoid,lat-upper,long-upper,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
17416328200,true,2015-11-11 10:00:00.000,-112.8907182,53.2401927,,3580,42.5,1.33,"A",3,1,9.0,0.1,158.6,772.3,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328201,true,2015-11-11 11:00:00.000,-112.8905762,53.2399579,,3599,20.74,1.98,"A",3,1,11.0,0.38,0.0,781.4,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328202,true,2015-12-03 01:08:40.000,-112.7905744,53.4809936,,3591,18.94,1.75,"A",3,1,-11.0,0.44,0.0,715.4,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328203,true,2015-12-03 01:20:00.000,-112.7907432,53.4809902,,3565,15.62,2.81,"A",3,1,-3.0,0.54,46.53,686.7,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328204,true,2015-12-03 01:25:00.000,-112.7905538,53.4809552,,3570,8.96,0.61,"A",3,1,3.0,0.11,0.0,709.3,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328205,true,2015-12-03 01:30:00.000,-112.790636,53.4809364,,3576,24.32,0.78,"A",3,1,7.0,0.08,0.0,697.9,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328206,true,2015-12-03 01:35:00.000,-112.7906663,53.480813,,3580,41.98,2.36,"A",3,1,10.0,0.18,0.0,719.4,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328207,true,2015-12-03 01:40:00.000,-112.7906782,53.4806767,,3582,45.31,3.14,"A",3,1,11.0,0.32,0.0,755.6,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328208,true,2015-12-03 02:00:00.000,-112.7907102,53.4813331,,3604,48.9,2.19,"A",3,1,16.0,1.06,0.0,703.9,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328209,true,2015-12-03 03:00:00.000,-112.7906007,53.4812996,,3640,37.38,2.18,"A",3,1,19.0,0.1,0.0,722.5,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328210,true,2015-12-03 03:25:00.000,-112.7992759,53.4817611,,3560,33.02,1.55,"A",3,1,2.0,1.4,262.14,739.2,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328211,true,2015-12-03 03:30:00.000,-112.7992146,53.4814283,,3553,13.82,0.47,"A",3,1,0.0,0.01,0.0,707.1,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328212,true,2015-12-03 03:35:00.000,-112.79969,53.4821404,,3542,23.81,0.65,"A",3,1,-8.0,0.21,0.0,712.5,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328213,true,2015-12-03 03:40:00.000,,,,3542,10000.0,300.0,"D",0,0,-7.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328214,true,2015-12-03 03:45:00.000,,,,3532,10000.0,300.0,"D",0,0,-2.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328215,true,2015-12-03 03:50:00.000,,,,3537,10000.0,300.0,"D",0,0,2.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328216,true,2015-12-03 03:55:00.000,,,,3542,10000.0,300.0,"D",0,0,5.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328217,true,2015-12-03 04:00:00.000,,,,3543,10000.0,300.0,"D",0,0,7.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328218,true,2015-12-03 05:00:00.000,,,,3580,10000.0,300.0,"D",0,0,16.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328219,true,2015-12-03 06:00:00.000,,,,3582,10000.0,300.0,"D",0,0,19.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328220,true,2015-12-03 06:45:00.000,,,,3551,10000.0,300.0,"D",0,0,-5.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328221,true,2015-12-03 06:50:00.000,,,,3522,10000.0,300.0,"D",0,0,-7.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416212475,true,2015-12-03 06:55:00.000,-112.8070173,53.483226,"22:55:00",3518,6.91,0.29,"A",3,1,-8.0,0.93,273.29,710.5,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416212476,true,2015-12-03 07:00:00.000,-112.8072466,53.483211,"23:00:00",3532,5.12,0.57,"A",3,1,-5.0,0.08,0.0,706.0,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416212477,true,2015-12-03 07:05:00.000,-112.807214,53.4832355,"23:05:00",3553,6.66,0.65,"A",3,1,-3.0,0.12,0.0,716.1,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328222,true,2015-12-03 07:10:00.000,,,,3555,10000.0,300.0,"B",0,1,-3.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416212478,true,2015-12-03 07:15:00.000,-112.809761,53.4843638,"23:15:00",3551,16.13,2.34,"A",3,1,-7.0,1.43,228.07,705.7,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416328223,true,2015-12-03 07:20:00.000,,,,3551,10000.0,300.0,"B",0,1,-6.0,,,,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416212479,true,2015-12-03 07:25:00.000,-112.8106384,53.4858815,"23:25:00",3555,9.73,0.73,"A",3,1,-3.0,0.08,336.86,691.9,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
17416212480,true,2015-12-03 07:30:00.000,-112.8104002,53.4858102,"23:30:00",3555,8.96,0.39,"A",3,1,0.0,0.83,104.2,715.8,,,,"gps","Pekania pennanti","4767","4767","Pekania pennanti Stewart Alberta"
